Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.366959605186412
2263157894.736842,-5.270162966308142
2526315789.4736843,-5.52926272703312
2789473684.2105265,-4.779320716941687
3052631578.9473686,-5.197769726027168
3315789473.684211,-4.5378369530970115
3578947368.4210525,-4.522934661901648
3842105263.1578946,-5.254231915773471
4105263157.894737,-4.249955233808148
4368421052.631578,-5.533217508266886
4631578947.368422,-5.752669792208086
4894736842.105263,-5.475452302470488
5157894736.842105,-5.281118868279003
5421052631.578947,-4.68399860522639
5684210526.315789,-4.024530166944082
5947368421.052631,-5.273559158257365
6210526315.789474,-4.723888691140759
6473684210.526316,-4.701554983225258
6736842105.263158,-4.629905230986108
7000000000.0,-4.795606576057282
