Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.555410459521757
2263157894.736842,-4.801820616769177
2526315789.4736843,-4.796904586627473
2789473684.2105265,-4.781920618745546
3052631578.9473686,-4.7449824524690465
3315789473.684211,-4.9876417942421325
3578947368.4210525,-4.777291769580984
3842105263.1578946,-4.468528585602197
4105263157.894737,-4.075044146804786
4368421052.631578,-5.075690724544394
4631578947.368422,-5.407164875017324
4894736842.105263,-5.704454218736948
5157894736.842105,-4.865691024885815
5421052631.578947,-5.0815422673928605
5684210526.315789,-4.200512555193463
5947368421.052631,-5.64643882997842
6210526315.789474,-5.257403362962697
6473684210.526316,-5.446694054735712
6736842105.263158,-4.904204689625331
7000000000.0,-5.095609346173604
