Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.580023415482017
2263157894.736842,-6.488066306556217
2526315789.4736843,-5.152511979357215
2789473684.2105265,-4.27505603885642
3052631578.9473686,-5.621980735928313
3315789473.684211,-4.973394701142166
3578947368.4210525,-4.250069189894865
3842105263.1578946,-5.584102376965403
4105263157.894737,-4.594689184371972
4368421052.631578,-4.0505510460944425
4631578947.368422,-4.7765178828755985
4894736842.105263,-4.185426188627623
5157894736.842105,-5.069076066286123
5421052631.578947,-5.210457241102708
5684210526.315789,-4.766922612705761
5947368421.052631,-5.7198950806251165
6210526315.789474,-4.445107529707624
6473684210.526316,-4.977722730790564
6736842105.263158,-5.646581281324823
7000000000.0,-4.433967661647044
