Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.7306374174581824
2263157894.736842,-5.2699694723635035
2526315789.4736843,-5.246357654357914
2789473684.2105265,-5.52979271699013
3052631578.9473686,-5.663007142174326
3315789473.684211,-5.775877037327859
3578947368.4210525,-4.749085976630133
3842105263.1578946,-4.440191865360923
4105263157.894737,-4.779476979849112
4368421052.631578,-4.857257494712975
4631578947.368422,-4.853526648890032
4894736842.105263,-5.062804825311694
5157894736.842105,-4.51354802287885
5421052631.578947,-5.388119074011506
5684210526.315789,-4.464107453532478
5947368421.052631,-5.078413943878818
6210526315.789474,-5.027625384455225
6473684210.526316,-5.612507351945621
6736842105.263158,-4.96003845287339
7000000000.0,-3.7643079958482835
