Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-16.018228634573447
2263157894.736842,-17.990191410684087
2526315789.4736843,-19.023840455811467
2789473684.2105265,-20.625423827052046
3052631578.9473686,-20.026310890236132
3315789473.684211,-17.199104682719895
3578947368.4210525,-14.812715894034536
3842105263.1578946,-11.969131449816047
4105263157.894737,-10.54189922084592
4368421052.631578,-8.026196827213857
4631578947.368422,-6.8050835024535345
4894736842.105263,-6.01395327590476
5157894736.842105,-5.165660413528679
5421052631.578947,-5.11476781136484
5684210526.315789,-4.215140617194202
5947368421.052631,-4.692394828037791
6210526315.789474,-5.2577789159816835
6473684210.526316,-4.59603979826021
6736842105.263158,-4.532931007593664
7000000000.0,-5.905106905941947
