Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.978232120908087
2263157894.736842,-17.9078475750089
2526315789.4736843,-18.807151334651063
2789473684.2105265,-19.1253971944059
3052631578.9473686,-19.646398519089537
3315789473.684211,-17.088400757023063
3578947368.4210525,-15.686193673802256
3842105263.1578946,-12.813903514812456
4105263157.894737,-9.916968293935883
4368421052.631578,-8.664327266595679
4631578947.368422,-5.886613158623914
4894736842.105263,-7.400240251061183
5157894736.842105,-5.720323579518678
5421052631.578947,-5.671162517883501
5684210526.315789,-5.231280748663363
5947368421.052631,-5.0084454224355675
6210526315.789474,-5.820038918485663
6473684210.526316,-4.4396511371591885
6736842105.263158,-5.619280650256883
7000000000.0,-4.713677944731684
