Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.87788524666412
2263157894.736842,-4.660910839960572
2526315789.4736843,-5.292764690676037
2789473684.2105265,-5.454336561563337
3052631578.9473686,-5.99591910567818
3315789473.684211,-4.514188521942689
3578947368.4210525,-4.991672233496635
3842105263.1578946,-4.897171797899372
4105263157.894737,-5.392783303584075
4368421052.631578,-4.402847624213898
4631578947.368422,-4.691494780300748
4894736842.105263,-6.086409160014073
5157894736.842105,-9.279370427982855
5421052631.578947,-14.867500033799033
5684210526.315789,-19.95871703380239
5947368421.052631,-18.56326597771401
6210526315.789474,-13.164475813930364
6473684210.526316,-7.528500672694692
6736842105.263158,-5.808450673659065
7000000000.0,-5.263925138380834
