Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.286497567294725
2263157894.736842,-4.124595888644871
2526315789.4736843,-4.509923989210648
2789473684.2105265,-4.746546770241803
3052631578.9473686,-4.463462816172253
3315789473.684211,-5.782147143798049
3578947368.4210525,-4.6856173891999
3842105263.1578946,-4.283006379298847
4105263157.894737,-4.305131699279986
4368421052.631578,-5.779870237395932
4631578947.368422,-5.445694108637263
4894736842.105263,-4.772420757604821
5157894736.842105,-4.835349442780345
5421052631.578947,-5.376721854989876
5684210526.315789,-4.37955055951047
5947368421.052631,-5.019086891335792
6210526315.789474,-5.06869523316186
6473684210.526316,-5.217817978477374
6736842105.263158,-4.26305991122944
7000000000.0,-5.596505552630638
