Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.249425755795395
2263157894.736842,-18.047893686190864
2526315789.4736843,-19.094983605822573
2789473684.2105265,-20.69345569195429
3052631578.9473686,-18.555418102247874
3315789473.684211,-17.831460158713888
3578947368.4210525,-15.135624262503391
3842105263.1578946,-12.45257816354876
4105263157.894737,-10.33108801913019
4368421052.631578,-8.410168936771063
4631578947.368422,-7.743690396750265
4894736842.105263,-6.223846033218005
5157894736.842105,-5.842383905707012
5421052631.578947,-5.264871458520684
5684210526.315789,-6.464071185782147
5947368421.052631,-5.823852664155867
6210526315.789474,-5.162938571985468
6473684210.526316,-4.876050008841201
6736842105.263158,-5.102282346855321
7000000000.0,-5.551248866352864
