Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.414129186501686
2263157894.736842,-4.878757870241524
2526315789.4736843,-5.031925580631315
2789473684.2105265,-5.047181853062297
3052631578.9473686,-4.838273924984166
3315789473.684211,-4.667022583386713
3578947368.4210525,-4.9052539828571025
3842105263.1578946,-4.910817785600341
4105263157.894737,-5.568661484224689
4368421052.631578,-4.7109714275560926
4631578947.368422,-5.162756238283493
4894736842.105263,-4.505014385861177
5157894736.842105,-4.343408046581498
5421052631.578947,-5.816314334270004
5684210526.315789,-4.335111210764233
5947368421.052631,-5.34049008071167
6210526315.789474,-5.518796531778309
6473684210.526316,-5.116192739399839
6736842105.263158,-4.850409015702955
7000000000.0,-4.495544723125183
