Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.877909846592224
2263157894.736842,-4.89675511827124
2526315789.4736843,-4.631608986497379
2789473684.2105265,-5.114333055611914
3052631578.9473686,-5.432296369464284
3315789473.684211,-5.160810841922616
3578947368.4210525,-4.978907291507909
3842105263.1578946,-4.912155850529015
4105263157.894737,-5.097890989860998
4368421052.631578,-4.593142321621716
4631578947.368422,-4.228614040975945
4894736842.105263,-4.50046517285514
5157894736.842105,-5.1567181634332195
5421052631.578947,-4.963132977182495
5684210526.315789,-4.8226044463731235
5947368421.052631,-4.875709615021355
6210526315.789474,-5.5281603434974205
6473684210.526316,-5.722995895507563
6736842105.263158,-4.951526514703664
7000000000.0,-4.2674505238930625
