Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.825834927867046
2263157894.736842,-17.760472214032603
2526315789.4736843,-20.37947683004396
2789473684.2105265,-20.96984329906071
3052631578.9473686,-20.09362188592764
3315789473.684211,-18.136288760604558
3578947368.4210525,-15.769849981139105
3842105263.1578946,-13.069264623760182
4105263157.894737,-10.54888821243446
4368421052.631578,-8.93756005277395
4631578947.368422,-7.0706086360884575
4894736842.105263,-5.836398267260577
5157894736.842105,-5.435208446248253
5421052631.578947,-4.825290101582069
5684210526.315789,-4.198936522010425
5947368421.052631,-5.360008006935861
6210526315.789474,-4.215303803634187
6473684210.526316,-5.5354868250373395
6736842105.263158,-5.032844748541739
7000000000.0,-4.495971319572135
