Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.718082335728333
2263157894.736842,-4.6125058857216015
2526315789.4736843,-5.359509590407138
2789473684.2105265,-4.749317647663452
3052631578.9473686,-4.38473048112183
3315789473.684211,-4.9776105452246835
3578947368.4210525,-4.329795672755925
3842105263.1578946,-4.425622156562813
4105263157.894737,-5.123774561115686
4368421052.631578,-4.665836832611532
4631578947.368422,-4.706237233333249
4894736842.105263,-4.313223840164259
5157894736.842105,-4.8397118882440076
5421052631.578947,-5.909223890953124
5684210526.315789,-4.797449584948085
5947368421.052631,-4.652021315565618
6210526315.789474,-4.910741777483028
6473684210.526316,-4.716170459479874
6736842105.263158,-5.561820554199658
7000000000.0,-4.326907623115532
